"lobster_id","temp","SMR","MMR","AAS","FAS","avg_eaten","sd_eaten","se_eaten","error","upper_95ci","lower_95ci"
"N18","21",0.70910121,4.503234524,3.794133314,6.350623099,23.3333333333333,9.07377172587747,5.23874454850057,10.2677506392667,33.6010839726,13.0655826940667
"L4","21",0.551134877,3.754457737,3.20332286,6.812230357,11,4,2.3094010767585,4.52634293630469,15.5263429363047,6.47365706369531
"N14","21",0.58242053,5.643304044,5.060883515,9.689397535,21.3333333333333,7.57187779440036,4.371625682868,8.5682288923116,29.9015622256449,12.7651044410217
"L3","21",1.083969919,4.662231239,3.578261319,4.30107068,9,7,4.04145188432738,7.9211001385332,16.9211001385332,1.0788998614668
"N19","21",0.574992196,4.852340556,4.277348359,8.438967673,14.3333333333333,6.65832811847939,3.84418753155693,7.53446911166952,21.8678024450029,6.79886422166382
"N15","21",0.733361438,4.375164601,3.641803162,5.965904902,12,3.60555127546399,2.08166599946613,4.07999038679519,16.0799903867952,7.92000961320481
"IV11","11",0.317630257,2.692003675,2.374373417,8.475274674,0,0,0,0,0,0
"IV13","11",0.22906439,1.961705609,1.732641219,8.637309282,0.666666666666667,0.577350269189626,0.333333333333333,0.653321328180018,1.31998799484668,0.0133453384866488
"MM02","11",0.282756934,2.14126273,1.858505796,7.572803616,1.33333333333333,2.3094010767585,1.33333333333333,2.61328531272007,3.9466186460534,-1.27995197938674
"IV10","11",0.187085453,3.406361638,3.219276185,18.20751739,9.33333333333333,1.15470053837925,0.666666666666667,1.30664265636004,10.6399759896934,8.0266906769733
"IV12","11",0.112146148,2.995652715,2.883506567,26.71204282,0.666666666666667,0.577350269189626,0.333333333333333,0.653321328180018,1.31998799484668,0.0133453384866488
"IV14","11",0.159039495,2.724266449,2.565226953,17.12949631,0.333333333333333,0.577350269189626,0.333333333333333,0.653321328180018,0.986654661513351,-0.319987994846685
"GP07","26",0.802060616,3.374564918,2.572504301,4.207368932,23.6666666666667,3.21455025366432,1.85592145427667,3.63753920851748,27.3042058751841,20.0291274581492
"IV19","26",1.310412772,4.231889306,2.921476534,3.22943228,14,2.64575131106459,1.52752523165195,2.99389443951402,16.993894439514,11.006105560486
"GP01","26",0.78033318,4.766024427,3.985691247,6.10767881,25.3333333333333,3.21455025366432,1.85592145427667,3.63753920851748,28.9708725418508,21.6957941248159
"IV18","16",0.502969852,3.56448835,3.061518498,7.08688272,10.25,6.65206734782504,3.32603367391252,6.51890621223597,16.768906212236,3.73109378776403
"GP03","16",0.247517435,2.55644402,2.308926585,10.32833916,31.3333333333333,2.08166599946613,1.20185042515466,2.35558354810729,33.6889168814406,28.977749785226
"IV17","16",0.298222424,3.969557837,3.671335413,13.31072889,11,3,1.73205080756888,3.39475720222851,14.3947572022285,7.60524279777148
"GP06","16",0.390298968,3.50376106,3.113462092,8.977120999,15.3333333333333,3.05505046330389,1.76383420737639,3.45705152115748,18.7903848544908,11.8762818121758
"GP05","16",0.410419537,3.415012414,3.004592878,8.320784243,7.33333333333333,1.15470053837925,0.666666666666667,1.30664265636004,8.63997598969337,6.0266906769733
"IV16","16",0.384490116,5.196602191,4.812112075,13.51556769,9.66666666666667,5.13160143944688,2.96273147243853,5.80684698184284,15.4735136485095,3.85981968482383
"IV15","26",0.809848486,4.564627653,3.754779167,5.636397094,15.6666666666667,9.07377172587747,5.23874454850057,10.2677506392667,25.9344173059333,5.3989160274
