"id","estimate",".lower",".upper",".width",".point",".interval","temp","parameter"
"GP01",0.0611670447877339,0.0505294233627769,0.0876018352778321,0.95,"median","qi","26","a"
"GP03",0.0419660123990964,0.0382642517458759,0.0443420285192984,0.95,"median","qi","16","a"
"GP05",0.050693827525721,0.0399951049440667,0.0639035635010059,0.95,"median","qi","16","a"
"GP06",0.0419320966541696,0.0292088855974504,0.054633512061283,0.95,"median","qi","16","a"
"GP07",0.0500101683042067,0.0432208554073137,0.0581583300865052,0.95,"median","qi","26","a"
"IV10",0.0116796944584568,0.00716733045854278,0.0288696763694883,0.95,"median","qi","11","a"
"IV11",0.0125263715793873,0.0060705084564475,0.040545458047622,0.95,"median","qi","11","a"
"IV12",0.0125225014185858,0.0060783873111998,0.0404360692537051,0.95,"median","qi","11","a"
"IV13",0.0123029387818224,0.00577931334482031,0.039905209369444,0.95,"median","qi","11","a"
"IV14",0.0125875580976048,0.0061133680710262,0.0402414412097088,0.95,"median","qi","11","a"
"IV15",0.0479555126463647,0.0419367397728823,0.0529765826932603,0.95,"median","qi","26","a"
"IV16",0.0554915145210361,0.0406749932250093,0.0852587280529751,0.95,"median","qi","16","a"
"IV17",0.0583157218974051,0.0456606344941627,0.0796646362176393,0.95,"median","qi","16","a"
"IV18",0.0503441696504982,0.0383035549919719,0.0658249910024772,0.95,"median","qi","16","a"
"IV19",0.0468814907488046,0.0361228238646664,0.0570987374537995,0.95,"median","qi","26","a"
"L3",0.0549085674701899,0.0438513672130432,0.0675128596069795,0.95,"median","qi","21","a"
"L4",0.0581813963995976,0.0433355688296461,0.0793852284263217,0.95,"median","qi","21","a"
"MM02",0.0128266396187364,0.00675024613704077,0.039220025894978,0.95,"median","qi","11","a"
"N14",0.0503682042785321,0.0412996161319164,0.0601950782056021,0.95,"median","qi","21","a"
"N15",0.0521577439462486,0.0349275327208596,0.0732977350155999,0.95,"median","qi","21","a"
"N18",0.0589906415059148,0.0500419908484945,0.0764020529947372,0.95,"median","qi","21","a"
"N19",0.0527932553736697,0.0427780041292017,0.0615583136191432,0.95,"median","qi","21","a"
"GP01",0.630809511057706,0.484392914503002,0.819173620526629,0.95,"median","qi","26","h"
"GP03",0.308607153431282,0.22433786155351,0.403221186737234,0.95,"median","qi","16","h"
"GP05",1.83598731527078,1.4207938517964,2.35017082556443,0.95,"median","qi","16","h"
"GP06",1.52029555127556,1.03752524162518,2.03300750112126,0.95,"median","qi","16","h"
"GP07",0.683473078789726,0.523434810213264,0.874041875850345,0.95,"median","qi","26","h"
"IV10",2.05554227547221,0.626770535408247,4.46083771815474,0.95,"median","qi","11","h"
"IV11",61.0439941569724,27.5200338609495,157.820195991532,0.95,"median","qi","11","h"
"IV12",26.1784331229872,13.5420335176587,51.359579511302,0.95,"median","qi","11","h"
"IV13",43.4682124275378,20.3741221340495,101.80205398139,0.95,"median","qi","11","h"
"IV14",35.753453098033,18.0320439566523,76.7852641234643,0.95,"median","qi","11","h"
"IV15",0.864580590739471,0.675744478664849,1.09452890053766,0.95,"median","qi","26","h"
"IV16",2.08397065126964,1.60233663999382,2.6644148613449,0.95,"median","qi","16","h"
"IV17",1.34334969486198,1.04745496042817,1.69911073055446,0.95,"median","qi","16","h"
"IV18",1.86700485828801,1.4526400975318,2.37363764495648,0.95,"median","qi","16","h"
"IV19",1.34482901576612,0.995378709288796,1.73906282805954,0.95,"median","qi","26","h"
"L3",1.81372169830831,1.39989593104727,2.32169624224681,0.95,"median","qi","21","h"
"L4",2.2187275649601,1.73210766556992,2.81407410837317,0.95,"median","qi","21","h"
"MM02",8.84366541923336,4.74278750898161,15.0287268125288,0.95,"median","qi","11","h"
"N14",0.855265244921934,0.649159855851275,1.08539796538689,0.95,"median","qi","21","h"
"N15",2.49071887206729,1.84727511438667,3.21945466861229,0.95,"median","qi","21","h"
"N18",0.651304625686726,0.507320828138069,0.828465523952104,0.95,"median","qi","21","h"
"N19",1.39738439486352,1.08573900119511,1.76837028682142,0.95,"median","qi","21","h"
